url_path,views_total,views_unique
/mponagandla/Python-Resume-Generator,23,11
/mponagandla/Python-Resume-Generator/pulls,4,3
/mponagandla/Python-Resume-Generator/tree/master/resources,3,3
/mponagandla/Python-Resume-Generator/blob/master/resources/job-descriptions/jd flex SE2.txt,2,2
/mponagandla/Python-Resume-Generator/issues,2,2
/mponagandla/Python-Resume-Generator/blob/master/resources/example_user_profile.md,2,1
/mponagandla/Python-Resume-Generator/blob/master/resources/resume-bkp.pdf,2,1
/mponagandla/Python-Resume-Generator/pull/17,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator,2,1
/mponagandla/Python-Resume-Generator/tree/github-repo-stats/mponagandla/Python-Resume-Generator/latest-report,2,1
